reactants	products	reaction_type	set
COc1ccc2nc(C)ccc2c1	Cc1ccc2cc(O)ccc2n1	<RX_6>	train
COc1cncc(-c2ccc(C(C)(c3ccc(/C(N)=N\OC(=O)COC(C)=O)cn3)C(C)C)cc2)c1	COc1cncc(-c2ccc(C(C)(c3ccc(-c4noc(COC(C)=O)n4)cn3)C(C)C)cc2)c1	<RX_1>	train
CN1CCN(Cc2cc3nc(Cl)nc(N4CCOCC4)c3s2)CC1.Cc1ccc(B2OC(C)(C)C(C)(C)O2)c2cc[nH]c12	Cc1ccc(-c2nc(N3CCOCC3)c3sc(CN4CCN(C)CC4)cc3n2)c2cc[nH]c12	<RX_3>	train
CCOC(=O)C(=O)CC(=O)c1ccc(-c2ccccc2)n1Cc1ccc(F)cc1	O=C(O)C(=O)CC(=O)c1ccc(-c2ccccc2)n1Cc1ccc(F)cc1	<RX_6>	train
CC(C)(C)OC(=O)N1Cc2cc(Cl)c(C3=CCOCC3)cc2C1.CCCC[Sn](CCCC)(CCCC)C1CC1	CC(C)(C)OC(=O)N1Cc2cc(C3=CCOCC3)c(C3CC3)cc2C1	<RX_3>	train
CC(C)(C)OC(=O)NCCCBr.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1O	COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1OCCCNC(=O)OC(C)(C)C	<RX_1>	train
O=C(O)c1cnc(-n2ccnc2)nc1.c1ccc(-c2noc(N3CCC(NC4CC4)CC3)n2)cc1	O=C(c1cnc(-n2ccnc2)nc1)N(C1CC1)C1CCN(c2nc(-c3ccccc3)no2)CC1	<RX_2>	test
N[C@@H](CCC(=O)O)C(=O)O.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1	N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1	<RX_2>	test
CC(=O)Cl.Cc1csc(C2(Nc3ccccc3)CCN(C(C)(C)c3ccccc3)CC2)n1	CC(=O)N(c1ccccc1)C1(c2nc(C)cs2)CCN(C(C)(C)c2ccccc2)CC1	<RX_2>	train
CCOC(=O)COc1cccc(C2CCCCC2=Cc2nc(-c3ccccc3)c(-c3ccccc3)o2)c1	CCOC(=O)COc1cccc(C2CCCCC2Cc2nc(-c3ccccc3)c(-c3ccccc3)o2)c1	<RX_7>	valid
BrCc1ccccc1.O=c1[nH]ncc(Cl)c1Cl	O=c1c(Cl)c(Cl)cnn1Cc1ccccc1	<RX_1>	train
Cc1nc(-c2ccccn2)ncc1C(=O)O.Nn1ccc2c(F)cccc21	Cc1nc(-c2ccccn2)ncc1C(=O)Nn1ccc2c(F)cccc21	<RX_2>	train
CC(=O)Cl.C[C@H]1CC(c2ccncc2[N+](=O)[O-])=C[C@@H](O[Si](C)(C)C(C)(C)C)[C@@]1(O)CO	CC(=O)OC[C@@]1(O)[C@@H](C)CC(c2ccncc2[N+](=O)[O-])=C[C@H]1O[Si](C)(C)C(C)(C)C	<RX_2>	train
Cc1ncc(-c2cccc(Cl)c2)o1.O=C1CCC(=O)N1Br	Clc1cccc(-c2cnc(CBr)o2)c1	<RX_10>	valid
COCOc1cc(OS(=O)(=O)C(F)(F)F)ccc1CCNS(=O)(=O)c1cc(C#N)ccc1OC.CSc1ccccc1B(O)O	COCOc1cc(-c2ccccc2SC)ccc1CCNS(=O)(=O)c1cc(C#N)ccc1OC	<RX_3>	train
Clc1nc(Cl)c2ccccc2n1.NCC1(c2ccccc2)CCCCC1	Clc1nc(NCC2(c3ccccc3)CCCCC2)c2ccccc2n1	<RX_1>	train
Cc1ccc(OCCO)cc1C	Cc1ccc(OCC=O)cc1C	<RX_8>	train
CCC(C)c1cc(C)[nH]c(=O)c1C#N	CCC(C)c1cc(C)[nH]c(=O)c1CN	<RX_7>	train
COc1ccc2c3c1O[C@H]1[C@@]4(OC)CC[C@@]5(C[C@@H]4CSCc4ccccc4)[C@@H](C2)N(CC2CC2)CC[C@]315.O=C(OO)c1cccc(Cl)c1	COc1ccc2c3c1O[C@H]1[C@@]4(OC)CC[C@@]5(C[C@@H]4CS(=O)Cc4ccccc4)[C@@H](C2)N(CC2CC2)CC[C@]315	<RX_8>	train
CCCN1CCC(c2cc(OC)c(N)cc2C)CC1.O=C(Nc1c(F)cccc1F)c1cccc(-c2nc3ccccn3c2-c2ccnc(Cl)n2)c1	CCCN1CCC(c2cc(OC)c(Nc3nccc(-c4c(-c5cccc(C(=O)Nc6c(F)cccc6F)c5)nc5ccccn45)n3)cc2C)CC1	<RX_1>	test
CCOC(=O)c1cc(Cl)nc(-c2cccc(C#C[C@]3(O)CCN(C)C3=O)c2)n1.OB(O)c1cc(F)cc(F)c1	CCOC(=O)c1cc(-c2cc(F)cc(F)c2)nc(-c2cccc(C#C[C@]3(O)CCN(C)C3=O)c2)n1	<RX_3>	train
COCOCCCc1cn(-c2ccc(Br)cn2)nc1C(C)C	CC(C)c1nn(-c2ccc(Br)cn2)cc1CCCO	<RX_6>	train
N=C(N)N.O=[N+]([O-])c1c(Cl)ncnc1Cl	N=C(N)Nc1ncnc(Cl)c1[N+](=O)[O-]	<RX_1>	train
COC(=O)/C(=C/c1cc(-c2ccccc2)cnc1NC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1	COC(=O)C(Cc1cc(-c2ccccc2)cnc1NC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1	<RX_7>	train
CC1(C2CCNc3ccccc32)COC1.NC(=O)CI	CC1(C2CCN(CC(N)=O)c3ccccc32)COC1	<RX_1>	train
CCOC(=O)CN.O=C(O)CN1CCCC1=O	CCOC(=O)CNC(=O)CN1CCCC1=O	<RX_2>	train
CCn1cc(-c2ccnc3[nH]c(C4=CCNCC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1.CN(C)CC(=O)O	CCn1cc(-c2ccnc3[nH]c(C4=CCN(C(=O)CN(C)C)CC4)cc23)c(-c2ccc(NC(=O)Nc3ccccc3)cc2)n1	<RX_2>	train
CC(C)(O)C#N.O=C(Cl)Cl	CC(C)(C#N)OC(=O)Cl	<RX_2>	train
FC(F)Cl.O=Cc1ccc(O)cc1	O=Cc1ccc(OC(F)F)cc1	<RX_1>	train
ClCCN1CCCC1.O=[N+]([O-])c1ccc2[nH]nc(Cl)c2c1	O=[N+]([O-])c1ccc2c(c1)c(Cl)nn2CCN1CCCC1	<RX_1>	train
Cc1ccc(S(=O)(=O)C(NC=O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2)cc1	[C-]#[N+]C(c1cc(C(C)(C)C)cc(C(C)(C)C)c1)S(=O)(=O)c1ccc(C)cc1	<RX_9>	train
C#C[Si](C)(C)C.Nc1nc(-c2cccc(F)c2)c(-c2ccncc2)cc1Br	C[Si](C)(C)C#Cc1cc(-c2ccncc2)c(-c2cccc(F)c2)nc1N	<RX_3>	train
CC1(C)OC(=O)C(=CC(=O)Cl)O1.CONCc1ccc(NC(C)=O)cc1	CON(Cc1ccc(NC(C)=O)cc1)C(=O)C=C1OC(C)(C)OC1=O	<RX_1>	valid
CCCCCCN=C=O.Cn1c(=O)[nH]c2ncccc21	CCCCCCNC(=O)n1c(=O)n(C)c2cccnc21	<RX_2>	valid
FC(F)(F)c1cccnc1CBr.O=C1Nc2ccccc2[C@]12COc1cc3c(cc12)OCCO3	O=C1N(Cc2ncccc2C(F)(F)F)c2ccccc2[C@]12COc1cc3c(cc12)OCCO3	<RX_1>	train
CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)c2ccccc12	Nc1ccc(S(=O)(=O)Nc2nccs2)c2ccccc12	<RX_6>	train
C[Si](C)(C)C#Cc1cc2ncnc(Cl)c2s1	C#Cc1cc2ncnc(Cl)c2s1	<RX_6>	train
COC(=O)C(=O)c1ccc(OCCCCOc2ccccc2)cc1	O=C(O)C(=O)c1ccc(OCCCCOc2ccccc2)cc1	<RX_6>	train
COC(=O)C(C)Br.Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1	COC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1	<RX_1>	valid
CC(C)(C)[Si](C)(C)OCCc1ccnc(C#N)c1	N#Cc1cc(CCO)ccn1	<RX_6>	train
CCCC[Sn](CCCC)(CCCC)c1ccnn1C(C)C.COC(=O)c1cc(I)c(C(C)F)cc1N	COC(=O)c1cc(-c2ccnn2C(C)C)c(C(C)F)cc1N	<RX_3>	train
C#C[Si](C)(C)C.O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(I)ccc1O	C[Si](C)(C)C#Cc1ccc(O)c(C(=O)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1	<RX_3>	train
CCOC(=O)CC(NC(=O)CNC(=O)c1cccc(N)c1)c1ccccc1	Nc1cccc(C(=O)NCC(=O)NC(CC(=O)O)c2ccccc2)c1	<RX_6>	test
CCCOc1c2c(c(OCCC)c3ccccc13)C(=O)N(c1ccc(CC(=O)OCC)cc1C)C2=O	CCCOc1c2c(c(OCCC)c3ccccc13)C(O)N(c1ccc(CC(=O)OCC)cc1C)C2=O	<RX_7>	train
CSc1ncccc1C(=O)C(C(=O)OC(C)(C)C)C(=O)C1CC1	CSc1ncccc1C(=O)CC(=O)C1CC1	<RX_9>	train
CC(C)(C)c1cc(CCC(=O)O)cc(C(C)(C)C)c1O.CCCCCCCCCCCCCCCCCC(=O)NCCCO	CCCCCCCCCCCCCCCCCC(=O)NCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1	<RX_2>	test
NCc1nccs1.O=C(O)c1[nH]c2ccc(Br)cc2c1S(=O)(=O)N1CCCC1	O=C(NCc1nccs1)c1[nH]c2ccc(Br)cc2c1S(=O)(=O)N1CCCC1	<RX_2>	train
O=C1CN(Cc2ccccc2)CC(=O)N1	O=C1CNCC(=O)N1	<RX_6>	train
CCOC(/C=C/c1cnc(N)c2c(-c3ccc(NC(=O)c4cc5ccccc5n4C)c(OC)c3)csc12)OCC	COc1cc(-c2csc3c(/C=C/C=O)cnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C	<RX_6>	train
Cn1c(CC(=O)O)nc(N2CCOC(CF)C2)cc1=O.Nc1ccc(F)c(Cl)c1	Cn1c(CC(=O)Nc2ccc(F)c(Cl)c2)nc(N2CCOC(CF)C2)cc1=O	<RX_2>	train
C=CCCCCCC(C)(C)C(=O)OCC	C=CCCCCCC(C)(C)C(=O)O	<RX_6>	train
Cc1cc(C(C)(C)C)cc(C)c1[N+](=O)[O-]	Cc1cc(C(C)(C)C)cc(C)c1N	<RX_7>	train
CC(C)(C)OC(=O)NC1(c2ccc(-c3oc4ncc(Cl)nc4c3-c3ccccc3)cc2)CCC1.NC(=O)c1cccc(B(O)O)c1	CC(C)(C)OC(=O)NC1(c2ccc(-c3oc4ncc(-c5cccc(C(N)=O)c5)nc4c3-c3ccccc3)cc2)CCC1	<RX_3>	valid
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43CO)[C@@H]1CCC2=O	CC(=O)O	<RX_7>	train
CCI.O=S1(=O)Cc2cc(Cl)c(Cl)cc2C(c2ccc(F)cc2)=NN1	CCN1N=C(c2ccc(F)cc2)c2cc(Cl)c(Cl)cc2CS1(=O)=O	<RX_1>	train
COc1cc(S(=O)(=O)Cl)ccc1Br.O=C1COC2(CCNCC2)CN1C1CC1	COc1cc(S(=O)(=O)N2CCC3(CC2)CN(C2CC2)C(=O)CO3)ccc1Br	<RX_2>	test
O=C(CBr)c1ccc(C(F)(F)F)cc1.O=C(O)CC1(NC(=O)OCc2ccccc2)COC1	O=C(CC1(NC(=O)OCc2ccccc2)COC1)OCC(=O)c1ccc(C(F)(F)F)cc1	<RX_1>	train
CC(C)(C)OC(=O)N1CC[C@@H]1CN.Cn1cc(-c2nc(NCCc3cccc(F)c3)c(C(=O)O)cc2F)cn1	Cn1cc(-c2nc(NCCc3cccc(F)c3)c(C(=O)NC[C@H]3CCN3C(=O)OC(C)(C)C)cc2F)cn1	<RX_2>	test
Cc1ccncc1C(=O)CBr.NC(=S)c1cccnc1	Cc1ccncc1-c1csc(-c2cccnc2)n1	<RX_4>	test
CC(=O)N1CCN(c2ccc([N+](=O)[O-])c(C#N)c2)CC1	CC(=O)N1CCN(c2ccc(N)c(C#N)c2)CC1	<RX_7>	train
Cc1c(C#N)c(N)c(OC(=O)C2=CCCC2)c(F)c1-c1ccccc1	Cc1c(-c2ccccc2)c(F)c2oc(C3=CCCC3)nc2c1C#N	<RX_1>	train
CC1(C)OB(c2ccc3c(c2)CCCNC3=O)OC1(C)C.CCN(C)S(=O)(=O)c1ccc(-c2cnc(N)c(Br)n2)cc1	CCN(C)S(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCCNC4=O)n2)cc1	<RX_3>	train
CCOC(=O)CP(=O)(OCC)OCC.COC(C=O)OC	CCOC(=O)/C=C/C(OC)OC	<RX_3>	train
Nn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O.O=C(O)Cc1ccc2ccccc2c1	O=C(Cc1ccc2ccccc2c1)Nn1nc(-c2ccc(Cl)cc2)c2ccccc2c1=O	<RX_2>	train
COc1ccc(-c2nc3c(C(=O)N4CCNC[C@H]4C)cnn3c(C(F)(F)F)c2C)cc1.C[C@@H](O)c1ccccc1C#N	COc1ccc(-c2nc3c(C(=O)N4CCN([C@@H](C)c5ccccc5C#N)C[C@H]4C)cnn3c(C(F)(F)F)c2C)cc1	<RX_1>	train
CCCC(C(=O)OC)c1c(C)nc2cc(C(C)(C)C)nn2c1-c1ccc2c(c1)CCN2C	CCCC(C(=O)O)c1c(C)nc2cc(C(C)(C)C)nn2c1-c1ccc2c(c1)CCN2C	<RX_6>	train
COc1ccncc1NC(=S)Nc1cccc2c1ncn2C	Cn1cnc2c(NC(=S)Nc3cccnc3)cccc21	<RX_2>	train
CCOP(=O)(CC(C)=O)OCC.O=C1CCOCC1	CC(=O)C=C1CCOCC1	<RX_3>	train
CC(C)(C)OC(=O)N[C@@H](C[C@@H](O)CNC(=O)OCc1ccccc1)C(=O)OC(C)(C)C.CS(=O)(=O)Cl	CC(C)(C)OC(=O)N[C@@H](C[C@H](CNC(=O)OCc1ccccc1)OS(C)(=O)=O)C(=O)OC(C)(C)C	<RX_2>	test
C[C@H](C(=O)O)[C@H](O)CCCCc1ccccc1	C[C@@H]1C(=O)O[C@@H]1CCCCc1ccccc1	<RX_2>	train
CC(C)(C)[Si](C)(C)O[C@@H](CN)c1ccc(O)c(NC=O)c1.CN(CCCn1c(=O)[nH]c2cc(C=O)ccc21)[C@H]1CC[C@H](OC(=O)C(O)(c2cccs2)c2cccs2)CC1	CN(CCCn1c(=O)[nH]c2cc(CNC[C@H](O[Si](C)(C)C(C)(C)C)c3ccc(O)c(NC=O)c3)ccc21)[C@H]1CC[C@H](OC(=O)C(O)(c2cccs2)c2cccs2)CC1	<RX_1>	train
CCN(C(=O)OC(C)(C)C)C1CCCC(c2c[nH]c3ccc([N+](=O)[O-])cc23)C1	CCN(C(=O)OC(C)(C)C)C1CCCC(c2c[nH]c3ccc(N)cc23)C1	<RX_7>	train
Nc1cccc(Cl)c1.O=C(Cl)c1cccc2cc(Oc3ccncc3)ccc12	O=C(Nc1cccc(Cl)c1)c1cccc2cc(Oc3ccncc3)ccc12	<RX_2>	train
CC1c2cccc(N)c2C=CN1C	CC1c2cccc(N)c2CCN1C	<RX_7>	train
CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21.O=S(=O)(Cl)c1cccs1	CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4cccs4)ccc3N2)c(O)c2cccnc21	<RX_2>	train
CC(C)[O-].Cc1nc(Cl)nc(C)c1N1CCCn2c1nc1c(Cl)ccc(C(OC(F)F)C(F)(F)F)c12	Cc1nc(OC(C)C)nc(C)c1N1CCCn2c1nc1c(Cl)ccc(C(OC(F)F)C(F)(F)F)c12	<RX_1>	train
CCN(CC)CCN1CCCc2[nH]c(C=O)c(C)c2C1=O.O=C1Cc2cc(S(=O)(=O)Cc3ccc(F)cc3)ccc2N1	CCN(CC)CCN1CCCc2[nH]c(/C=C3\C(=O)Nc4ccc(S(=O)(=O)Cc5ccc(F)cc5)cc43)c(C)c2C1=O	<RX_3>	train
Cc1c(C(=O)Nc2ccc(B3OC(C)(C)C(C)(C)O3)cc2)c(=O)n(-c2ccccc2)n1C.Nc1ncc(Br)nc1Br	Cc1c(C(=O)Nc2ccc(-c3nc(Br)cnc3N)cc2)c(=O)n(-c2ccccc2)n1C	<RX_3>	train
Clc1nc2ncnn2c(Cl)c1-c1ccsc1.NC1CCCC1	Clc1nc2ncnn2c(NC2CCCC2)c1-c1ccsc1	<RX_1>	test
C[C@H](NC(=O)OC(C)(C)C)C(=O)NCc1cccc(Nc2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)c1	C[C@H](N)C(=O)NCc1cccc(Nc2n[nH]c3ncnc(Nc4cccc(Cl)c4)c23)c1	<RX_6>	valid
COc1cc(F)c(C#N)c(F)c1.OCC(F)(F)F	COc1cc(F)c(C#N)c(OCC(F)(F)F)c1	<RX_1>	valid
C#C[Si](C)(C)C.CC(C)(CC(=O)O)Cc1ccc(OCCCNc2ccccn2)c(Br)c1	C#Cc1cc(CC(C)(C)CC(=O)O)ccc1OCCCNc1ccccn1	<RX_3>	train
COC(=O)c1cnc(-c2ccc(C)c(F)c2)cc1Oc1ccccc1Cl	Cc1ccc(-c2cc(Oc3ccccc3Cl)c(C(=O)O)cn2)cc1F	<RX_6>	train
CCOC(=O)Cn1c(C)c(Cc2ccccc2S(=O)(=O)N2CCCC2)c(C#N)c1C1CCCCC1	Cc1c(Cc2ccccc2S(=O)(=O)N2CCCC2)c(C#N)c(C2CCCCC2)n1CC(=O)O	<RX_6>	train
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O.OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCl	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCCCN1CC(O)C(O)[C@H](O)C1CO	<RX_1>	train
O=C(O)Cc1csc(NC(=O)c2ccc(Cl)cc2)n1.c1ccc(CN2CCNCC2)cc1	O=C(Nc1nc(CC(=O)N2CCN(Cc3ccccc3)CC2)cs1)c1ccc(Cl)cc1	<RX_2>	train
COc1ccc(Br)c(-n2c(=O)[nH]c(=O)n(C)c2=O)c1	Cn1c(=O)[nH]c(=O)n(-c2cc(O)ccc2Br)c1=O	<RX_6>	train
CCCC(Br)CC.O=C(NOCc1ccccc1)Nc1ccccc1	CCCC(CC)N(OCc1ccccc1)C(=O)Nc1ccccc1	<RX_1>	test
COc1ccc2ncc(F)c(CC(O)C34CCC(N)(CC3)CO4)c2n1.O=Cc1cc2c(cn1)OCC(=O)N2	COc1ccc2ncc(F)c(CC(O)C34CCC(NCc5cc6c(cn5)OCC(=O)N6)(CC3)CO4)c2n1	<RX_1>	train
CS(=O)(=O)c1ccc(C(=O)Cl)c(F)c1.Nc1cc(Br)ccc1Br	CS(=O)(=O)c1ccc(C(=O)Nc2cc(Br)ccc2Br)c(F)c1	<RX_2>	train
CCOC(=O)c1c[nH]c2cc(C=O)sc2c1=O	CCOC(=O)c1c[nH]c2cc(CO)sc2c1=O	<RX_7>	train
O=C(O)c1ccc(-c2cc3cccnc3c(Br)n2)cc1.OB(O)c1cccc2nonc12	O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc4nonc34)n2)cc1	<RX_3>	valid
CC(=O)Cl.Cc1ccc(Cl)c(-c2ccc(CN3CCN[C@@H](Cc4ccccc4)C3)cc2)c1	CC(=O)N1CCN(Cc2ccc(-c3cc(C)ccc3Cl)cc2)C[C@@H]1Cc1ccccc1	<RX_2>	train
CC(C)(C)OC(=O)NCCO.CS(=O)(=O)Cl	CC(C)(C)OC(=O)NCCOS(C)(=O)=O	<RX_2>	train
CC(C)c1nc2c(c(I)c1[C@H](O)c1ccc(S(F)(F)(F)(F)F)cc1)[C@@H](O[Si](C)(C)C(C)(C)C)CC1(CCC1)C2.CC1(C)OB(C2=CCOCC2)OC1(C)C	CC(C)c1nc2c(c(C3=CCOCC3)c1[C@H](O)c1ccc(S(F)(F)(F)(F)F)cc1)[C@@H](O[Si](C)(C)C(C)(C)C)CC1(CCC1)C2	<RX_3>	train
OCC(CO)(COCc1ccccc1)C1CCCCC1	OCC(CO)(CO)C1CCCCC1	<RX_6>	train
COc1cc(OC)c(F)c(B2OC(C)(C)C(C)(C)O2)c1F.Clc1ncc2cnn(C3CCCCO3)c2n1	COc1cc(OC)c(F)c(-c2ncc3cnn(C4CCCCO4)c3n2)c1F	<RX_3>	train
OCCCN1CCCC1.Oc1cc(OC2CCOCC2)c2c(Cl)ncnc2c1	Clc1ncnc2cc(OCCCN3CCCC3)cc(OC3CCOCC3)c12	<RX_1>	train
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COC(=O)c1scc(CCN)c1Cl	COC(=O)c1scc(CCNC(=O)OC(C)(C)C)c1Cl	<RX_5>	train
CC(C)c1cc(C(=O)Cl)ccc1OCc1ccccc1.Cc1ccc([N+](=O)[O-])c2cc[nH]c12	Cc1ccc([N+](=O)[O-])c2ccn(C(=O)c3ccc(OCc4ccccc4)c(C(C)C)c3)c12	<RX_2>	train
NC[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)c1nc(N)sc1-c1cccc(F)c1.O=C(O)c1cccc2ncccc12	Nc1nc(C(=O)N2[C@H](CNC(=O)c3cccc4ncccc34)C[C@@H]3C[C@@H]32)c(-c2cccc(F)c2)s1	<RX_2>	test
CCNc1cc(NC(C)=O)ccc1[N+](=O)[O-]	CCNc1cc(N)ccc1[N+](=O)[O-]	<RX_6>	train
CCCCc1cn(C(C)(C)C)s/c1=N\C(=O)[C@]1(C)CC[C@H](C(=O)O)C1(C)C.NC1CC1	CCCCc1cn(C(C)(C)C)s/c1=N\C(=O)[C@]1(C)CC[C@H](C(=O)NC2CC2)C1(C)C	<RX_2>	train
COC(=O)c1ccc(C(=O)NCc2ccc(C(=O)NN=C3C(=O)Nc4ccc(I)cc43)cc2)cc1	O=C1Nc2ccc(I)cc2C1=NNC(=O)c1ccc(CNC(=O)c2ccc(C(=O)O)cc2)cc1	<RX_6>	train
CCOC(=O)Cc1nc(-c2ccc(F)cc2)oc1-c1cccc(OCc2ccccc2)c1	CCOC(=O)Cc1nc(-c2ccc(F)cc2)oc1-c1cccc(O)c1	<RX_6>	train
NN1Cc2ccccc2C1.S=C=Nc1ccccc1	S=C(Nc1ccccc1)NN1Cc2ccccc2C1	<RX_2>	train
C(CN1CCNCC1)CN1CCOCC1.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Cl)c(Cl)c2)cc1	O=C(c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Cl)c(Cl)c2)cc1)N1CCN(CCCN2CCOCC2)CC1	<RX_2>	test
Cn1c(=O)[nH]c2ccc(Br)cc21.O=[N+]([O-])c1cccc(B(O)O)c1	Cn1c(=O)[nH]c2ccc(-c3cccc([N+](=O)[O-])c3)cc21	<RX_3>	train
CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(=O)c3nc4cc(C(F)(F)F)ccc4s3)cc2)cc1)C(=O)OC(C)(C)C	CC(C)[C@H](NS(=O)(=O)c1ccc(-c2ccc(NC(=O)c3nc4cc(C(F)(F)F)ccc4s3)cc2)cc1)C(=O)O	<RX_6>	train
C1=C(c2ccc(OCc3ccccc3)cc2)CCNC1.O=C(O)C1CCOCC1	O=C(C1CCOCC1)N1CC=C(c2ccc(OCc3ccccc3)cc2)CC1	<RX_2>	test
Cc1ccc2c(c1)NC(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1.Cc1ccccc1C(=O)CBr	Cc1ccc2c(c1)N(CC(=O)c1ccccc1C)C(=O)C(NC(=O)OC(C)(C)C)CN2C(=O)C1CCCCC1	<RX_1>	train
Cc1cc(C)n2nc(S(=O)(=O)Cl)nc2n1.Cc1cccc(C)c1N	Cc1cc(C)n2nc(S(=O)(=O)Nc3c(C)cccc3C)nc2n1	<RX_2>	train
CCCCCC1CC=C(c2ccc(S(F)(F)(F)(F)F)cc2)CC1	CCCCC[C@H]1CC[C@H](c2ccc(S(F)(F)(F)(F)F)cc2)CC1	<RX_7>	train
CN(C)CCO.Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2cc(Cl)ccn2)cc1	Cc1ccc(-c2ncc[nH]2)cc1NC(=O)c1ccc(OCc2cc(OCCN(C)C)ccn2)cc1	<RX_1>	train
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3F)c2cc1O[C@H]1CCN(C(=O)OC(C)(C)C)[C@H](C(N)=O)C1	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3F)c2cc1O[C@H]1CCN[C@H](C(N)=O)C1	<RX_6>	train
CCCCOc1ccc(N)cn1.CN1CC(=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21	CCCCOc1ccc(NC2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)cn1	<RX_1>	train
CCOC(=O)C(C(=O)OCC)c1ccc(Br)cc1.CNc1ccccc1	CCOC(=O)C(C(=O)OCC)c1ccc(N(C)c2ccccc2)cc1	<RX_1>	test
CCOC(=O)C(C)(C)Oc1ccc(OCCC2CN(Cc3ccc(OC)cc3)C(=O)N2C)cc1	COc1ccc(CN2CC(CCOc3ccc(OC(C)(C)C(=O)O)cc3)N(C)C2=O)cc1	<RX_6>	train
CC(C)(C)OC(=O)N[C@@H](Cc1cc(F)cc(F)c1)c1ncccc1-c1ccc(Cl)cc1	N[C@@H](Cc1cc(F)cc(F)c1)c1ncccc1-c1ccc(Cl)cc1	<RX_6>	valid
ClCc1cscn1.O=[N+]([O-])c1ccc(O)cc1	O=[N+]([O-])c1ccc(OCc2cscn2)cc1	<RX_1>	train
CCOC(=O)/C(=C/c1ccc(OC)cc1)CC	CC/C(=C\c1ccc(OC)cc1)CO	<RX_7>	train
CC(C)(C)OC(=O)NC1CCN(S(=O)(=O)c2ccccc2)c2ccccc2C1	NC1CCN(S(=O)(=O)c2ccccc2)c2ccccc2C1	<RX_6>	train
CNc1ccc(I)cc1[N+](=O)[O-]	CNc1ccc(I)cc1N	<RX_7>	train
CCS(=O)(=O)c1ccc(Oc2ccc(N)c(C(=O)OC)c2)cc1.O=C(O)c1ccccn1	CCS(=O)(=O)c1ccc(Oc2ccc(NC(=O)c3ccccn3)c(C(=O)OC)c2)cc1	<RX_2>	train
COc1ccccc1B(O)O.Nc1cnc(Br)cn1	COc1ccccc1-c1cnc(N)cn1	<RX_3>	train
CC(=O)N(CCCC(O)c1ccccc1)C(C)C	CC(=O)N(CCCC(=O)c1ccccc1)C(C)C	<RX_8>	train
C#CC1CCCN(C(=O)OC(C)(C)C)C1.Fc1ccc(I)cc1	CC(C)(C)OC(=O)N1CCCC(C#Cc2ccc(F)cc2)C1	<RX_3>	train
Nc1nc(-c2ccccc2)c(-c2ccccc2)s1.O=C(Cl)c1ccccc1	O=C(Nc1nc(-c2ccccc2)c(-c2ccccc2)s1)c1ccccc1	<RX_2>	train
Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccc(Oc3ccc(N)cc3)cc21.O=C(Cl)c1cccnc1	Cn1c(COc2ccc(CC3SC(=O)NC3=O)cc2)nc2ccc(Oc3ccc(NC(=O)c4cccnc4)cc3)cc21	<RX_2>	train
COc1ccc2c(ccn2C)c1F	Cn1ccc2c(F)c(O)ccc21	<RX_6>	train
